capital,subcapital,title,instruction,question,correct,wrong_1,wrong_2,wrong_3,hint,q_type
Reelle Zahlen,Mit Wurzeln multiplizieren und dividieren,Wurzeln dividieren (2),Entscheide. Welcher Rechenweg ergibt für die jeweilige Zahl mehr Sinn?,,sqrt(9/3),sqrt(9)/sqrt(3),,,Kann man die Wurzeln in Zähler und Nenner einzeln ziehen? Oder kann man den Bruch ausrechnen und aus dem Quotienten die Wurzel ziehen?,MC
Reelle Zahlen,Mit Wurzeln multiplizieren und dividieren,Wurzeln dividieren (2),Entscheide. Welcher Rechenweg ergibt für die jeweilige Zahl mehr Sinn?,,sqrt(9/14),sqrt(9)/sqrt(14),,,Kann man die Wurzeln in Zähler und Nenner einzeln ziehen? Oder kann man den Bruch ausrechnen und aus dem Quotienten die Wurzel ziehen?,MC
Reelle Zahlen,Quadratwurzeln,Quadratwurzeln kennenlernen,Wie viele Lösungen hat die Gleichung?,x=sqrt(-84),keine,1,2,,,MC
Reelle Zahlen,Quadratwurzeln,Quadratwurzeln kennenlernen,Wie viele Lösungen hat die Gleichung?,x^2=-9,keine,2,1,,,MC
Reelle Zahlen,Quadratwurzeln,Quadratwurzeln berechnen,Löse die folgenden Aufgaben mithilfe bekannter Quadratwurzeln.,sqrt(1000000),1000,,,,,gap
Reelle Zahlen,Quadratwurzeln,Quadratwurzeln berechnen,Löse die folgenden Aufgaben mithilfe bekannter Quadratwurzeln.,sqrt(160000),400,,,,,gap
Reelle Zahlen,Quadratwurzeln,Wurzeln aus natürlichen Zahlen,"Entscheide, ob die jeweilige Quadratwurzel eine natürliche Zahl oder einen nicht abbrechenden Dezimalbruch ergibt.",sqrt(91)|sqrt(86)|sqrt(9)|sqrt(64)|sqrt(26)|sqrt(144),natürliche Zahl|sqrt(9)~sqrt(144)~sqrt(64);nicht abbrechende Dezimalzahl|sqrt(26)~sqrt(86)~sqrt(91),,,,Die Quadratwurzel aus einer Quadratzahl ergibt eine natürliche Zahl. Die Quadratwurzel aus allen anderen Zahlen ist ein nicht abbrechender Dezimalbruch.,dragGroup
Reelle Zahlen,Quadratwurzeln,Dritte Wurzel ziehen,Berechne die Seitenlänge des Würfels.,V = 64;a = root3(___ m^3) = ___ m,64;4,,,,"<u>Beispiel:</u><br><br>Das Volumen dieses Würfels ist<br><mat>V = 8 m^3</mat>.<br>Somit folgt für jede Seitenlänge a:<br><mat>a = root3(8 m^3) = 2 m</mat>,<br> denn<br><mat>2 * 2 * 2 = 8</mat>.",gap
Reelle Zahlen,Quadratwurzeln,Dritte Wurzel ziehen,Berechne die Seitenlänge des Würfels.,V = 1000;a = root3(___ m^3) = ___ m,1000;10,,,,,
Reelle Zahlen,Quadratwurzeln,Wichtige Quadratwurzeln,Ziehe nun die Felder mit gleichem Wert aufeinander.,,x=sqrt(49)|7;x=sqrt(289)|17;x=sqrt(100)|10;x=sqrt(196)|14;x=sqrt(81)|9,,,,<u>Beispiel:</u><br>5^2=25<br>Also ist <br>sqrt(25)=5.,dragMatch
Reelle Zahlen,Quadratwurzeln,Wichtige Quadratwurzeln,Ziehe nun die Felder mit gleichem Wert aufeinander.,,x=sqrt(16)|4;x=sqrt(16)|4;x=sqrt(25)|5;x=sqrt(289)|17;x=sqrt(81)|9,,,,<u>Beispiel:</u><br>5^2=25<br>Also ist <br>sqrt(25)=5.,dragMatch
Reelle Zahlen,Quadratwurzeln,Wichtige Quadratwurzeln,"Du kennst bereits die Quadratzahlen von 1 bis 20. Diese helfen dir, die Quadratwurzeln folgender Zahlen zu berechnen",Wie lautet das Ergebnis für diese Quadratwurzel?,x=sqrt(9),3,,,,gap
Reelle Zahlen,Quadratwurzeln,Wichtige Quadratwurzeln,"Berechne die Quadratwurzel der folgenden Zahl. Die erste Aufgabe hilft dir, die zweite zu berechnen.",,sqrt(25)=___;sqrt(0.25)=___,5;;0.5,,,<u>Beispiel:</u><br><mat>sqrt(64) = 8</mat><br><mat>sqrt(0.64) = 0.8</mat>,gap
Reelle Zahlen,Quadratwurzeln,Wichtige Quadratwurzeln,"Berechne die Quadratwurzel der folgenden Zahl. Die erste Aufgabe hilft dir, die zweite zu berechnen.",,sqrt(121)=___;sqrt(1.21)=___,11;;1.1,,,<u>Beispiel:</u><br><mat>sqrt(64) = 8</mat><br><mat>sqrt(0.64) = 0.8</mat>,gap
